country,management,operations,monitor,target,people,lean1,lean2,perf1,perf2,perf3,perf4,perf5,perf6,perf7,perf8,perf9,perf10,talent1,talent2,talent3,talent4,talent5,talent6,sic2,employment,N
United States,3.222222,3.333333,3.4,3.266667,3,3.3333333,3.3333333,4,3.3333333,3.3333333,2.6666667,3.6666667,3.3333333,4,3,3.3333333,2.6666667,2,3,3.6666667,3.3333333,3,3,38,D) 501 to 1000,3
United States,2.411765,1,2.75,2.4,2.666667,1,1,2,3,3,,3,4,1,3,3,1,2,3,3,2,2,4,30,E) 1000+,1
United States,4.555555,4.5,4.7,4.4,4.583333,4.5,4.5,4,5,5,5,4.5,4,4.5,4,4.5,5,4.5,5,4.5,5,4.5,4,28,B) 101 to 250,2
United States,2.666667,2.5,2.4,2.4,3.166667,2,3,2,2,2,3,3,2,2,3,3,2,3,2,4,3,4,3,34,A) 50 to 100,1
United States,4.333333,3.75,4.7,4.4,4.166667,3.5,4,4.5,5,5,5,4,4,3.5,4.5,5,5,4,3,4,4.5,5,4.5,36,E) 1000+,2
United States,4.833333,5,4.8,4.8,4.833333,5,5,5,5,4,5,5,5,5,5,5,4,4,5,5,5,5,5,35,D) 501 to 1000,1
United States,2.722222,2.5,3,2.8,2.5,2,3,3,3,3,3,3,2,3,3,4,2,2,2,3,2,3,3,36,A) 50 to 100,1
United States,3.111111,2.833333,3.8,3.133333,2.611111,3,2.6666667,3.6666667,3.6666667,4,4,3.6666667,3.3333333,3,3.6666667,2.6666667,3,2.3333333,2.3333333,2.3333333,3,2.3333333,3.3333333,38,E) 1000+,3
United States,2.947712,2.75,3.7,2.7,2.55,3,2.5,4,3.5,4,3.5,3.5,2,2.5,3.5,3.5,2,2,3,3.5,3.5,1,1.5,24,D) 501 to 1000,2
United States,2.777778,3.5,2.6,2.4,3,4,3,3,3,1,3,3,3,3,1,3,2,2,3,3,3,4,3,28,C) 251 to 500,1
United States,3.111111,3.5,3.25,3.1,2.875,3.5,3.5,3.5,3,3.25,3.25,3.25,3.25,3.25,3,3.5,2.5,2.25,2.75,3.25,3.5,2.75,2.75,35,D) 501 to 1000,4
United States,3.738562,3.25,4.3,3.8,3.333333,3.5,3,4,4.5,4.5,4.5,4,4.5,4,4,3.5,3,2,3.5,4,3.5,5,3,22,E) 1000+,2
United States,2.962963,1.333333,3.066667,2.666667,3.666667,1.3333334,1.3333334,2.3333333,2.3333333,3.3333333,3.3333333,4,2.6666667,3.3333333,2.3333333,3,2,3,3.6666667,4,4,4,3.3333333,30,B) 101 to 250,3
United States,3.185185,3.666667,3.533333,3.066667,2.833333,4,3.3333333,4,3.6666667,3.6666667,3.3333333,3,3,3,3.3333333,3,3,2,2.6666667,3.3333333,3.3333333,3,2.6666667,28,E) 1000+,3
United States,3.666667,4,3.8,3.4,3.666667,4,4,5,3,4,4,3,3,4,4,2,4,3,4,4,4,3,4,36,E) 1000+,1
United States,3.722222,4,4,3.4,3.666667,4,4,4,5,3,4,4,3,3,3,4,4,3,2,5,4,4,4,38,C) 251 to 500,1
United States,3.333333,3,3.6,3.6,3,3,3,2,4,4,4,4,4,4,3,4,3,4,2,3,3,3,3,24,C) 251 to 500,1
United States,3.133333,2.6,3.48,2.68,3.4,3,2.2,3.4000001,3.4000001,3.4000001,3.4000001,3.8,3.8,2.5999999,2.2,1.8,3,3.4000001,2.8,4.4000001,3.8,3.2,2.8,32,E) 1000+,5
United States,4.111111,3.5,4.5,3.8,4.25,3.5,3.5,4.5,4.5,4.5,4.5,4.5,4,4.5,4,3.5,3,4.5,4,5,4.5,4,3.5,36,E) 1000+,2
United States,4.138889,4.5,4.2,4.1,4,4,5,4.5,4.5,4,4,4,3.5,4,4.5,4,4.5,4,4.5,4,4,4,3.5,38,D) 501 to 1000,2
United States,4.111111,4.5,4.4,4.4,3.5,4,5,5,4,5,5,3,4,5,5,5,3,3,4,3,3,4,4,36,D) 501 to 1000,1
United States,4,4,4.2,4,3.833333,4,4,5,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,30,E) 1000+,1
United States,3.833333,4.5,4,4,3.333333,4,5,4,4,3,4,5,5,4,3,4,4,3,3,4,3,4,3,37,E) 1000+,1
